,Date,Open,High,Low,Close,Adj Close,Volume,Benefit,Tolerance,Month,Day,WeekDay
27,2022-06-01,31792.554688,31957.285156,29501.587891,29799.080078,29799.080078,41135817341,-1993.4746100000011,2455.6972650000025,6,1,3
28,2022-06-02,29794.890625,30604.734375,29652.705078,30467.488281,30467.488281,29083562061,672.5976560000017,952.029297000001,6,2,4
29,2022-06-03,30467.806641,30633.035156,29375.689453,29704.390625,29704.390625,26175547452,-763.4160159999992,1257.3457030000027,6,3,5
30,2022-06-04,29706.138672,29930.564453,29500.005859,29832.914063,29832.914063,16588370958,126.77539099999922,430.55859399999827,6,4,6
31,2022-06-05,29835.117188,30117.744141,29574.449219,29906.662109,29906.662109,17264085441,71.54492100000061,543.294922000001,6,5,7
32,2022-06-06,29910.283203,31693.291016,29894.1875,31370.671875,31370.671875,31947336829,1460.388672000001,1799.1035159999992,6,6,1
33,2022-06-07,31371.742188,31489.683594,29311.683594,31155.478516,31155.478516,40770974039,-216.26367200000095,2178.0,6,7,2
34,2022-06-08,31151.480469,31253.691406,29944.404297,30214.355469,30214.355469,30242059107,-937.125,1309.2871090000008,6,8,3
35,2022-06-09,30215.279297,30609.310547,30020.265625,30111.998047,30111.998047,21692004719,-103.28125,589.044922000001,6,9,4
36,2022-06-10,30110.330078,30245.808594,28978.146484,29083.804688,29083.804688,29867476527,-1026.5253899999989,1267.6621099999975,6,10,5
37,2022-06-11,29084.666016,29401.916016,28236.212891,28360.810547,28360.810547,27246574439,-723.8554689999983,1165.703125,6,11,6
38,2022-06-12,28373.513672,28502.685547,26762.648438,26762.648438,26762.648438,34163220274,-1610.8652340000008,1740.0371090000008,6,12,7
39,2022-06-13,26737.578125,26795.589844,22141.257813,22487.388672,22487.388672,68204556440,-4250.189452999999,4654.332030999998,6,13,1
40,2022-06-14,22487.986328,23018.951172,20950.818359,22206.792969,22206.792969,50913575242,-281.1933590000008,2068.132813,6,14,2
41,2022-06-15,22196.730469,22642.671875,20178.376953,22572.839844,22572.839844,54912007015,376.109375,2464.294922000001,6,15,3
42,2022-06-16,22576.304688,22868.921875,20265.226563,20381.650391,20381.650391,31183975654,-2194.654297000001,2603.695312,6,16,4
43,2022-06-17,20385.71875,21243.3125,20326.519531,20471.482422,20471.482422,27132421514,85.76367200000095,916.7929689999983,6,17,5
44,2022-06-18,20473.425781,20736.041016,17708.623047,19017.642578,19017.642578,42009436760,-1455.7832030000027,3027.4179689999983,6,18,6
45,2022-06-19,19010.902344,20683.822266,18067.152344,20553.271484,20553.271484,35329942625,1542.3691400000025,2616.669922000001,6,19,7
46,2022-06-20,20553.371094,20913.322266,19689.169922,20599.537109,20599.537109,30818458597,46.16601500000252,1224.1523439999983,6,20,1
47,2022-06-21,20594.294922,21620.628906,20415.0625,20710.597656,20710.597656,28970212744,116.30273400000078,1205.5664060000017,6,21,2
48,2022-06-22,20719.414063,20835.75,19848.078125,19987.029297,19987.029297,28574793478,-732.3847659999992,987.671875,6,22,3
49,2022-06-23,19986.607422,21135.761719,19950.117188,21085.876953,21085.876953,26188097173,1099.269530999998,1185.644530999998,6,23,4
50,2022-06-24,21084.648438,21472.917969,20777.511719,21231.65625,21231.65625,24957784918,147.00781199999983,695.40625,6,24,5
51,2022-06-25,21233.609375,21520.914063,20964.585938,21502.337891,21502.337891,18372538715,268.7285159999992,556.328125,6,25,6
52,2022-06-26,21496.494141,21783.724609,21016.269531,21027.294922,21027.294922,18027170497,-469.19921899999827,767.455077999999,6,26,7
53,2022-06-27,21028.238281,21478.089844,20620.199219,20735.478516,20735.478516,20965695707,-292.7597650000025,857.890625,6,27,1
54,2022-06-28,20731.544922,21164.423828,20228.8125,20280.634766,20280.634766,21381535161,-450.91015600000173,935.611327999999,6,28,2
55,2022-06-29,20281.169922,20364.15625,19937.791016,20104.023438,20104.023438,23552740328,-177.14648400000078,426.3652340000008,6,29,3
56,2022-06-30,20108.3125,20141.160156,18729.65625,19784.726563,19784.726563,26267239923,-323.58593699999983,1411.5039060000017,6,30,4
